onset	duration	trial_no	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	33	1	rest	n/a	n/a	n/a	n/a	0.000000
33	9	2	stimulus	3761084.043533	n03761084_43533	38	38	0.000000
42	9	3	stimulus	1621127.019020	n01621127_19020	2	2	0.000000
51	9	4	stimulus	4387400.016693	n04387400_16693	46	46	0.000000
60	9	5	stimulus	3584254.005040	n03584254_5040	34	34	0.000000
69	9	6	stimulus	1943899.024131	n01943899_24131	6	6	0.000000
78	9	7	stimulus	2824058.018729	n02824058_18729	18	18	0.000000
87	9	8	stimulus	2437971.005013	n02437971_5013	15	15	0.000000
96	9	9	stimulus	2416519.012793	n02416519_12793	13	13	0.000000
105	9	10	stimulus	2882301.014188	n02882301_14188	19	19	0.000000
114	9	11	stimulus	3345837.012501	n03345837_12501	28	28	0.000000
123	9	12	stimulus	3272010.011001	n03272010_11001	27	27	0.000000
132	9	13	stimulus	3482252.022530	n03482252_22530	32	32	0.000000
141	9	14	stimulus	3379051.008496	n03379051_8496	29	29	0.000000
150	9	15	stimulus	2071294.046212	n02071294_46212	8	8	0.000000
159	9	16	stimulus	4297750.025624	n04297750_25624	45	45	0.000000
168	9	17	stimulus	2437136.012836	n02437136_12836	14	14	0.000000
177	9	18	stimulus	2128385.020264	n02128385_20264	9	9	0.000000
186	9	19	stimulus	4572121.003262	n04572121_3262	50	50	0.000000
195	9	20	stimulus	4252077.010859	n04252077_10859	43	43	0.000000
204	9	21	stimulus	4252077.010859	n04252077_10859	43	43	208.108570
213	9	22	stimulus	4533802.019479	n04533802_19479	48	48	0.000000
222	9	23	stimulus	1976957.013223	n01976957_13223	7	7	0.000000
231	9	24	stimulus	4554684.053399	n04554684_53399	49	49	0.000000
240	9	25	stimulus	3710193.022225	n03710193_22225	36	36	0.000000
249	9	26	stimulus	1846331.017038	n01846331_17038	4	4	0.000000
258	9	27	stimulus	3495258.009895	n03495258_9895	33	33	0.000000
267	9	28	stimulus	2139199.010398	n02139199_10398	10	10	0.000000
276	9	29	stimulus	2139199.010398	n02139199_10398	10	10	282.190278
285	9	30	stimulus	2690373.007713	n02690373_7713	16	16	0.000000
294	9	31	stimulus	2951358.023759	n02951358_23759	22	22	0.000000
303	9	32	stimulus	1443537.022563	n01443537_22563	1	1	0.000000
312	9	33	stimulus	3064758.038750	n03064758_38750	23	23	0.000000
321	9	34	stimulus	4210120.009062	n04210120_9062	42	42	0.000000
330	9	35	stimulus	3767745.000109	n03767745_109	39	39	0.000000
339	9	36	stimulus	1858441.011077	n01858441_11077	5	5	0.000000
348	9	37	stimulus	2916179.024850	n02916179_24850	20	20	0.000000
357	9	38	stimulus	3237416.058334	n03237416_58334	26	26	0.000000
366	9	39	stimulus	3452741.024622	n03452741_24622	30	30	0.000000
375	9	40	stimulus	3124170.013920	n03124170_13920	25	25	0.000000
384	9	41	stimulus	2274259.024319	n02274259_24319	12	12	0.000000
393	9	42	stimulus	2274259.024319	n02274259_24319	12	12	397.037055
402	9	43	stimulus	3626115.019498	n03626115_19498	35	35	0.000000
411	9	44	stimulus	4507155.021299	n04507155_21299	47	47	0.000000
420	9	45	stimulus	4254777.016338	n04254777_16338	44	44	0.000000
429	9	46	stimulus	2950256.022949	n02950256_22949	21	21	0.000000
438	9	47	stimulus	2950256.022949	n02950256_22949	21	21	440.121929
447	9	48	stimulus	2190790.015121	n02190790_15121	11	11	0.000000
456	9	49	stimulus	2190790.015121	n02190790_15121	11	11	458.346319
465	9	50	stimulus	3716966.028524	n03716966_28524	37	37	0.000000
474	9	51	stimulus	3122295.031279	n03122295_31279	24	24	0.000000
483	9	52	stimulus	2797295.015411	n02797295_15411	17	17	0.000000
492	9	53	stimulus	3455488.028622	n03455488_28622	31	31	0.000000
501	9	54	stimulus	3941684.021672	n03941684_21672	40	40	0.000000
510	9	55	stimulus	1677366.018182	n01677366_18182	3	3	0.000000
519	9	56	stimulus	3954393.010038	n03954393_10038	41	41	0.000000
528	6	57	rest	n/a	n/a	n/a	n/a	0.000000
